reaction,judgement_time,RMSE_probit,RMSE_probit_M,RMSE_weibull
Toxic,180,0.055,0.155,0.009
Toxic,190,0.067,0.15,0.009
Toxic,200,0.104,0.158,0.031
Toxic,210,0.14,0.181,0.049
Toxic,220,0.11,0.157,0.045
Toxic,230,0.055,0.125,0.031
Toxic,240,0.111,0.157,0.055
Toxic,250,0.126,0.165,0.06
Toxic,260,0.135,0.172,0.065
Toxic,270,0.132,0.171,0.065
Toxic,280,0.144,0.18,0.069
Toxic,290,0.153,0.187,0.074
Toxic,300,0.149,0.185,0.07
Toxic,310,0.174,0.205,0.083
Toxic,320,0.176,0.206,0.081
Toxic,330,0.191,0.218,0.087
Toxic,340,0.191,0.218,0.087
Toxic,350,0.191,0.218,0.087
Toxic,360,0.206,0.231,0.093
Toxic,370,0.206,0.231,0.091
Toxic,380,0.206,0.231,0.091
Toxic,390,0.206,0.231,0.091
Toxic,400,0.206,0.231,0.091
Toxic,410,0.178,0.204,0.085
Toxic,420,0.178,0.204,0.085
Toxic,430,0.178,0.204,0.085
Toxic,440,0.171,0.2,0.083
Toxic,450,0.171,0.2,0.083
Toxic,460,0.166,0.197,0.081
Toxic,470,0.166,0.197,0.081
Toxic,480,0.166,0.197,0.081
Toxic,490,0.159,0.192,0.078
Toxic,500,0.159,0.192,0.078
Toxic,510,0.159,0.192,0.078
Toxic,520,0.159,0.192,0.078
Toxic,530,0.154,0.189,0.076
Toxic,540,0.154,0.189,0.076
Toxic,550,0.154,0.189,0.076
Toxic,560,0.154,0.189,0.076
Toxic,570,0.154,0.189,0.076
Toxic,580,0.154,0.189,0.076
Toxic,590,0.154,0.189,0.076
Toxic,600,0.166,0.199,0.082
Lethal,180,0.075,0.156,0.01
Lethal,190,0.085,0.162,0.007
Lethal,200,0.107,0.168,0.011
Lethal,210,0.093,0.153,0.019
Lethal,220,0.092,0.147,0.013
Lethal,230,0.076,0.127,0.016
Lethal,240,0.031,0.099,0.016
Lethal,250,0.048,0.1,0.032
Lethal,260,0.063,0.106,0.042
Lethal,270,0.079,0.112,0.043
Lethal,280,0.085,0.12,0.047
Lethal,290,0.083,0.116,0.047
Lethal,300,0.1,0.13,0.053
Lethal,310,0.127,0.152,0.065
Lethal,320,0.112,0.139,0.059
Lethal,330,0.091,0.118,0.048
Lethal,340,0.105,0.128,0.055
Lethal,350,0.118,0.139,0.061
Lethal,360,0.111,0.134,0.059
Lethal,370,0.109,0.133,0.056
Lethal,380,0.107,0.132,0.055
Lethal,390,0.107,0.133,0.055
Lethal,400,0.093,0.124,0.046
Lethal,410,0.072,0.111,0.037
Lethal,420,0.072,0.111,0.037
Lethal,430,0.06,0.105,0.031
Lethal,440,0.06,0.105,0.031
Lethal,450,0.044,0.097,0.022
Lethal,460,0.044,0.097,0.022
Lethal,470,0.054,0.103,0.027
Lethal,480,0.052,0.103,0.027
Lethal,490,0.052,0.103,0.027
Lethal,500,0.052,0.103,0.027
Lethal,510,0.052,0.103,0.027
Lethal,520,0.052,0.103,0.027
Lethal,530,0.052,0.103,0.027
Lethal,540,0.064,0.112,0.03
Lethal,550,0.064,0.112,0.03
Lethal,560,0.064,0.112,0.03
Lethal,570,0.064,0.112,0.03
Lethal,580,0.064,0.112,0.03
Lethal,590,0.064,0.112,0.03
Lethal,600,0.064,0.112,0.03
